# Event l1Pt l1Eta l1StripPt l1DM  l1PVDZ  l1HoE  l1EoH  l1Discriminant
77777 2.500000 0.759600 0.000000 0.000000 -0.081037 0.000000 4294967296.000000 0.282367
77777 28.751804 0.180150 4.505165 1.000000 3.039703 0.000000 4294967296.000000 0.448484
77787 0.000000 -10.000000 4.505165 -10.000000 0.000000 0.000000 4294967296.000000 -10.000000
77778 46.750229 -0.457483 30.503333 1.000000 -17.587062 0.000000 0.000000 0.448484
77774 48.750740 0.146700 11.252084 1.000000 1.366085 1.000000 0.000000 0.448484
77774 0.000000 -10.000000 11.252084 -10.000000 0.000000 1.000000 0.000000 -10.000000
77788 0.000000 -10.000000 11.252084 -10.000000 0.000000 1.000000 0.000000 -10.000000
77776 45.500206 -0.779836 23.513249 1.000000 -41.907911 1.000000 0.000000 0.448484
77781 13.000000 2.288300 0.000000 0.000000 66.413213 2.000000 0.000000 0.282367
77785 30.250742 -1.385182 24.041601 1.000000 -58.946721 0.000000 4294967296.000000 0.448484
77794 31.250000 1.132567 7.598600 10.000000 38.558187 0.000000 0.000000 -0.089386
77794 0.000000 -10.000000 7.598600 -10.000000 0.000000 0.000000 0.000000 -10.000000
77782 54.000000 1.618967 0.000000 10.000000 126.377025 6.000000 0.000000 -0.244851
77783 20.250000 1.398000 0.000000 0.000000 33.655496 0.000000 4294967296.000000 0.282367
77792 63.000000 0.889400 0.000000 0.000000 58.706993 4294967296.000000 0.000000 -9.900000
77792 50.250305 0.598100 20.509347 1.000000 26.868750 2.000000 0.000000 0.448484
77791 0.000000 -10.000000 20.509347 -10.000000 0.000000 2.000000 0.000000 -10.000000
77791 0.000000 -10.000000 20.509347 -10.000000 0.000000 2.000000 0.000000 -10.000000
77793 0.000000 -10.000000 20.509347 -10.000000 0.000000 2.000000 0.000000 -10.000000
77793 0.000000 -10.000000 20.509347 -10.000000 0.000000 2.000000 0.000000 -10.000000
